Ref_area;REF_AREA;date;obsValue
Italie;ITA;1997-02-01;106,4245398385509
États-Unis;USA;1997-02-01;131,1105115034726
Allemagne;DEU;1997-02-01;93,7743194697876
France;FRA;1997-02-01;103,1309305877977
Europe;EU27;1997-03-01;102,5210115593686
Italie;ITA;1997-03-01;107,0763365341259
États-Unis;USA;1997-03-01;132,3841271865919
Allemagne;DEU;1997-03-01;95,0713362469152
France;FRA;1997-03-01;104,3221499597021
Europe;EU27;1997-04-01;103,5013912735819
Italie;ITA;1997-04-01;109,0316388958582
États-Unis;USA;1997-04-01;132,2715535779405
Allemagne;DEU;1997-04-01;94,5525295360641
France;FRA;1997-04-01;107,4425432599246
Europe;EU27;1997-05-01;102,2408790186412
Italie;ITA;1997-05-01;108,8453987364092
États-Unis;USA;1997-05-01;133,2322231325356
Allemagne;DEU;1997-05-01;93,3852209201123
France;FRA;1997-05-01;105,1444135800343
Europe;EU27;1997-06-01;104,3417241432006
Italie;ITA;1997-06-01;109,6834355914331
États-Unis;USA;1997-06-01;134,0708507287686
Allemagne;DEU;1997-06-01;96,6277563794683
France;FRA;1997-06-01;105,9350545743237
Europe;EU27;1997-07-01;105,3221297584393
Italie;ITA;1997-07-01;110,4283085042362
États-Unis;USA;1997-07-01;135,1044707290629
Allemagne;DEU;1997-07-01;97,9247731565959
France;FRA;1997-07-01;106,1037265187471
Europe;EU27;1997-08-01;105,1820699633319
Italie;ITA;1997-08-01;111,3593338514956
États-Unis;USA;1997-08-01;136,7525195785521
Allemagne;DEU;1997-08-01;94,8119328914896
France;FRA;1997-08-01;110,5313031707872
Europe;EU27;1997-09-01;105,0420101682246
Italie;ITA;1997-09-01;111,0800174748186
États-Unis;USA;1997-09-01;138,0016549170824
Allemagne;DEU;1997-09-01;95,5901429577662
France;FRA;1997-09-01;107,9907297701300
Europe;EU27;1997-10-01;106,5826290628672
Italie;ITA;1997-10-01;112,3836108659685
États-Unis;USA;1997-10-01;139,2594409585437
Allemagne;DEU;1997-10-01;96,8871597348938
France;FRA;1997-10-01;110,8054448608174
Europe;EU27;1997-11-01;106,3025094726525
Italie;ITA;1997-11-01;111,4524977937164
États-Unis;USA;1997-11-01;140,6325806077078
Allemagne;DEU;1997-11-01;97,2762582845690
France;FRA;1997-11-01;108,4018884885892
Europe;EU27;1997-12-01;107,4229619324858
Italie;ITA;1997-12-01;111,9180543298425
États-Unis;USA;1997-12-01;141,3424942478549
Allemagne;DEU;1997-12-01;98,5732750616966
France;FRA;1997-12-01;110,6577721483237
Europe;EU27;1998-01-01;107,9831881624025
Italie;ITA;1998-01-01;111,3593338514956
États-Unis;USA;1998-01-01;142,4390894031342
Allemagne;DEU;1998-01-01;99,6109014503247
France;FRA;1998-01-01;110,7948968099250
Europe;EU27;1998-02-01;108,4033545972118
Italie;ITA;1998-02-01;111,5455740109446
États-Unis;USA;1998-02-01;142,6730508527238
Allemagne;DEU;1998-02-01;99,2217899337234
France;FRA;1998-02-01;111,3746090763180
Europe;EU27;1998-03-01;108,4033545972118
Italie;ITA;1998-03-01;111,0800174748186
États-Unis;USA;1998-03-01;142,4485413999094
Allemagne;DEU;1998-03-01;100,6485148720268
France;FRA;1998-03-01;109,6879972652564
Europe;EU27;1998-04-01;108,6834612369138
Italie;ITA;1998-04-01;112,1973707065195
États-Unis;USA;1998-04-01;143,0909010631043
Allemagne;DEU;1998-04-01;99,8703048057503
France;FRA;1998-04-01;111,0267386632132
Europe;EU27;1998-05-01;109,3837472619378
Italie;ITA;1998-05-01;112,0111305470706
États-Unis;USA;1998-05-01;143,8769866772634
Allemagne;DEU;1998-05-01;100,5188067108510
France;FRA;1998-05-01;112,7345542092320
Europe;EU27;1998-06-01;108,6834612369138
Italie;ITA;1998-06-01;111,7318141703935
États-Unis;USA;1998-06-01;142,8223368017910
Allemagne;DEU;1998-06-01;99,4811932891490
France;FRA;1998-06-01;111,9544289758833
Europe;EU27;1998-07-01;109,6638539016398
Italie;ITA;1998-07-01;111,3593338514956
